	-----------------------------------------------------------------	
	Trajectory	0

BackScattered	Transmitted	Detected	Displayed	Nb Collisions	Max Depth	Mean Free Path	Mean dE/dS	Mean Phi	Mean Theta	Mean Position
no	no	no	yes	306	696.729	0	-0.0113523	3.01902	0.202068	(-376.861,-183.758,519.729)	

X	Y	Z	Rx	Ry	Rz	Energy	Region
-476.686	-183.785	555.409	-0.23701	-0.828283	0.0565811	4.16509	Si
-476.748	-184.003	555.424	-0.224374	-0.831847	0.0600982	4.16316	Si
-478.26	-189.607	555.829	-0.215965	-0.830425	0.134896	4.11341	Si
-479.578	-194.674	556.652	-0.197838	-0.838395	0.0654171	4.06797	Si
-480.501	-198.586	556.957	-0.236748	-0.826926	0.00379041	4.03295	Si
-483.528	-209.16	557.006	-0.291421	-0.811211	0.0229397	3.93637	Si
-484.037	-210.577	557.046	-0.262665	-0.80989	-0.0600962	3.92294	Si
-485.245	-214.302	556.769	-0.196662	-0.835092	-0.00520038	3.88752	Si
-487.493	-223.848	556.71	-0.210535	-0.824241	-0.0760311	3.7989	Si
-488.573	-228.075	556.32	-0.0398623	-0.855746	0.0944347	3.75849	Si
-488.588	-228.401	556.356	-0.0814071	-0.834417	0.202892	3.75547	Si
-488.94	-232.001	557.231	-0.100061	-0.837098	0.181354	3.7212	Si
-490.539	-245.381	560.13	-0.285513	-0.796778	0.19354	3.5934	Si
-494.353	-256.026	562.716	-0.273979	-0.803267	0.165278	3.48393	Si
-494.633	-256.847	562.885	-0.252914	-0.813024	0.0994724	3.47537	Si
-495.03	-258.121	563.041	-0.46567	-0.687706	-0.095798	3.46222	Si
-496.049	-259.627	562.831	-0.506301	-0.663232	-0.0857328	3.44381	Si
-497.998	-262.18	562.501	-0.515179	-0.67629	-0.0372239	3.41131	Si
-498.284	-262.555	562.48	-0.455484	-0.730836	-0.000215638	3.40659	Si
-499.792	-264.975	562.479	-0.472577	-0.722613	0.0090971	3.37844	Si
-500.628	-266.252	562.495	-0.467924	-0.726852	0.0133661	3.36331	Si
-501.907	-268.239	562.532	0.0218146	-0.892243	-0.0772319	3.33985	Si
-501.665	-278.126	561.676	0.00273013	-0.894681	-0.0464534	3.24429	Si
-501.621	-292.533	560.928	0.0259824	-0.895123	0.0285303	3.10258	Si
-501.612	-292.866	560.939	0.0387743	-0.89428	-0.0371575	3.09921	Si
-501.46	-296.359	560.794	0.0856684	-0.892161	5.68738e-05	3.06373	Si
-501.335	-297.664	560.794	0.0461741	-0.895224	0.0131592	3.05033	Si
-501.306	-298.225	560.802	0.0176995	-0.891114	0.0983933	3.04457	Si
-501.282	-299.429	560.935	0.0452566	-0.893952	0.0543164	3.03215	Si
-501.215	-300.756	561.015	0.19521	-0.867366	-0.122524	3.01847	Si
-501.162	-300.992	560.982	0.364515	-0.828872	-0.0371285	3.01595	Si
-500.172	-303.241	560.881	0.401675	-0.826512	0.06409	2.99084	Si
-499.554	-304.514	560.98	0.307747	-0.868058	0.0805923	2.9765	Si
-497.894	-309.195	561.415	0.322851	-0.854867	-0.00580884	2.92614	Si
-496.11	-313.919	561.383	0.396026	-0.832004	0.063817	2.87392	Si
-494.615	-317.06	561.624	0.170104	-0.854562	-0.210618	2.83781	Si
-494.499	-317.645	561.479	0.121419	-0.868994	-0.187198	2.8312	Si
-494.322	-318.909	561.207	0.163777	-0.871919	-0.140496	2.81715	Si
-494.182	-319.654	561.087	-0.0738688	-0.877886	0.191294	2.80887	Si
-494.209	-319.969	561.156	-0.105568	-0.864842	0.233859	2.80537	Si
-494.318	-320.868	561.399	-0.0646709	-0.835069	0.338577	2.79527	Si
-494.354	-321.32	561.582	-0.105002	-0.830013	0.341437	2.78999	Si
-494.377	-321.509	561.66	-0.107978	-0.8456	0.296827	2.78777	Si
-494.989	-326.3	563.342	-0.12033	-0.827962	0.341463	2.73243	Si
-496.003	-333.274	566.218	-0.41243	-0.787293	0.111935	2.64903	Si
-497.307	-335.763	566.572	-0.305588	-0.816599	-0.0230542	2.61706	Si
-497.349	-335.876	566.569	-0.397153	-0.775467	-0.0348374	2.61565	Si
-501.514	-344.009	566.203	-0.404366	-0.784368	0.0283207	2.5087	Si
-502.798	-346.499	566.293	-0.333129	-0.824574	0.0931763	2.47539	Si
-502.849	-346.625	566.307	-0.29744	-0.838518	0.102906	2.47377	Si
-503.966	-349.774	566.694	-0.344511	-0.820239	0.0890085	2.43401	Si
-504.082	-350.051	566.724	-0.388684	-0.80116	0.0975123	2.4304	Si
-504.332	-350.566	566.787	-0.29397	-0.835567	0.0308168	2.4235	Si
-505.051	-352.61	566.862	-0.150546	-0.875965	0.0464484	2.39725	Si
-505.281	-353.945	566.933	-0.159402	-0.871405	0.102002	2.38077	Si
-505.599	-355.684	567.136	-0.18189	-0.865801	0.116586	2.35909	Si
-505.803	-356.654	567.267	-0.15557	-0.867532	0.147926	2.34684	Si
-505.962	-357.543	567.419	0.0312572	-0.849761	0.285977	2.3356	Si
-505.823	-361.327	568.692	0.269871	-0.821168	0.261832	2.2866	Si
-505.57	-362.096	568.937	-0.00344716	-0.838842	0.356577	2.27616	Si
-505.594	-367.916	571.411	-0.17806	-0.188419	0.877544	2.1985	Si
-505.814	-368.149	572.495	-0.476919	0.192132	0.823622	2.18435	Si
